id,locale,key,hash,translation
83169e86-3d51-4b59-83a5-68a4711f07c1,cs,lab.build.create.atomizer.comments.tab,081c561310de776ef09844f8201171f085a7c9c5,Komentáře atomizéru
834e941b-7ffd-41b5-a341-8534aa55b17c,cs,lab.mixture.preview.expires,e3f042497656903694020f7e6efa84dc1d2d77c7,Expirace
8393f985-515f-4f1e-a88d-5f20b8bf04d7,cs,lab.vendor.preview.name,1589dc4686504364f114faf0da4f2d76256ffacd,Jméno
83acafce-f9b1-485a-bc82-a8e386a826e2,cs,lab.build.label,c92012b941f81fde0c8327dcefb2b16ba601d00f,Buildy
83bcef05-6c9f-4dad-b59d-8500c7ccd532,cs,user.name.label.required,d6ab56a784a13d837cfdeaf9e7dda923161a0f05,"Vaše jméno je vyžadováno, vyplňte jej prosím."
83bf3837-40d9-4478-8d17-e27a895ce3c5,cs,lab.coil.label,21b2f4bf1a9f1dc7fc930a29881e512dbc6e439c,Spirálky
840ead3f-9873-427e-b834-3ea3cd15c5da,cs,lab.mod.vendorId.label,e4f0159e483c5b7b347a1560aea2745e14575c33,Výrobce
84730ef9-86cb-4c7d-b403-e64fa6294a2a,cs,lab.vape.setupId.label,9fdb8ceec3f892bf124b9885228e8402dabe263c,Setup
848d192c-45e1-4437-8290-3ea65fab8d07,cs,lab.vape.rating.title,fd942cfb5a8882f63fe647424433d676500fa853,Celkové hodnocení
84c74b79-4342-44e0-9070-40040ce565bb,cs,lab.atomizer.tooltip.create,760e289b994a21d1815fae6b0c6b78013f4c6c35,Přidat atomizér
851691c8-3457-481a-8fdc-61ebcf610a50,cs,lab.vendor.button.delete.confirm,c4e2b6b8939042f1c76125d1ba4a48f54561a41b,"Opravdu si přejete odstranit vybraného výrobce? Tento krok s sebou efektivně může vzít opravdu velké množství dat ze systému, jelikož výrobci jsou použiti u atomizérů, modů, drátů, zkrátka všude. Díky tomu může dojít k brutálnímu promazání dat. Před tím, než budete pokračovat, se hezky pomodlete ke svému oblíbenému božstvu."
85193416-c5a5-409e-8aeb-272774c7417c,cs,lab.build.name.label.required,a8016caab3110658c707505aa6cdc35e97b787f7,Jméno buildu je povinné
852bbbcd-666a-405e-a1da-65a501917f8d,cs,lab.build.preview.coilOffset,3790a05af60db5eb7a3ab746c2cbcebefdd17e1a,Pozice spirálky
854c306c-8f96-4c4f-b1d7-d44bd75dfd7b,cs,lab.coil.builds.tab,fcc804817d90fec1e1ea0d8f4bd964abd597e5db,Buildy
8591e659-1506-4680-b353-469618302836,cs,shared.import.table.tab.title,f4802f2db62a4d3cdd74c1fc08e3fd61e310605b,Úlohy
85a228f5-0be3-4434-b82d-f1c83d32333e,cs,lab.vendor.context.menu,5511f01da8760ea36906d7497b12e440b163dc43,Výrobce [{{data.name}}]
85a77497-74af-42da-b236-96fc1e1af91c,cs,lab.mixture.create.submit,c1e5a9d1d8d71a85c20bf3abd32603401e6a9f68,Vytvořit mix
85f7fdab-d523-44ae-aaab-c8c0104a6056,cs,lab.vape.juice.label.tooltip,5ef44f42694ff1ca0dbb85ae8c63539fb8982c91,"Pokud atomizér podporuje juice flow, je možné si zde poznamenat optimální nastavení, aby nedocházelo k únikům. Nula je takřka zavřeno, pět je plně otevřeno."
8655fa5e-01f7-498c-814b-8ce908643887,cs,lab.vape.preview.build.age,dc95dce9441f669d111a4147911712436fbee345,Stáří buildu
866c0ee2-e280-4b20-b50f-b09554eff14f,cs,root.file.list.title,a9a60144eeaeefd68979f258e06f242ce33a6ebc,Seznam souborů
86c44035-3e3b-4040-afb9-8b4d2c5b7f39,cs,lab.coil.index.label,abdb8743f1cef555c0637fe240574977d1957b31,Spirálka
86f2e5a5-dd5c-457a-aff0-2bba10462fca,cs,lab.driptip.code.label,013897c9205dcca058d84b9e5e6c2063c6adb473,Kód
874dea6a-f4ce-4010-9ab2-012027f4b776,cs,translation.check,922da2d13f40cffaf8ea066f256ed50fb2f5b3f4,ok
876aeb23-eaeb-49b1-a595-d0e0ed95dbb3,cs,root.file.upload.title,8f7d12c588e96dc71abb9c22e151bbd42c4172ce,Nahrát soubor
877b545f-9107-4c4d-8872-708c6d7a9e5d,cs,lab.vape.age.tooltip,11bd2e88aedbfa7787164f7ebe693635df128a3a,Stáří vapu
882e2486-73f8-4d62-b0b3-414e14832611,cs,form-item.settings.date.label,acc6b65d641eaa03ba13ae1ae8f288e5abca2cd9,Formát datumů
883d44fd-3f02-4cbd-9628-de853e77bad8,cs,lab.mixture.volume.label,997dee18ee6db0b094743575d7ab658d47de8726,Celkový objem
888a0a59-8dec-492c-bce1-1e553d815782,cs,lab.coil.wireId.label.required,9fb17f368183fdf996859549584f34e0bdeb459e,"Vyberte prosím drát; pokud není v seznamu, budete si jej muset pořídit v Obchodě."
88a7a65b-f517-46a4-856a-22c2844c4696,cs,lab.vape.plot.no-data.subtitle,fdc6062165c5d6a6ea129519e1eb8a3c1675dafa,"Pokud chcete sledovat tyto velice zajímavé údaje, vytvořte prosím zážitek z vapování a přidejte k němu hodnocení."
88ad06e8-7ba9-4249-aebc-ca13e381f1e1,cs,lab.liquid.table.footer.label,e51feeb949d4c541428e63ed43c4fadc81b77418,Počet liquidů [{{data.total}}]
88eeb907-486a-4b5c-ac41-8e91f1e84fe9,cs,lab.liquid.create.submit,2e9934ab002d908a34f77d037962ad82ce04a4f0,Vytvořit liquid
890df122-2941-42a4-a056-2938642913b3,cs,job-service.PuffSmith\Updater\UpdaterJobService,fe5bbf97f305e52bb1305fb3e490626fe9fe9fdf,Služba aktualizace dat
891ccea8-b637-4908-9d67-22dfcb96cbee,cs,lab.wire.update.submit,7dfc4e93c423b71a718c25a4594e894f1818321d,Aktualizovat
896dff4e-40aa-480b-a1ad-55a1680ab11b,cs,root.upgrade.index.title,9916b7c7c6ab7c44485a9576c169a3e2e2225ec3,Aktualizace
8984652b-f6a8-44c3-b265-4c48f247e720,cs,lab.liquid.label,92e6e9eb90c366e67f8e571e155160097f3195f3,Liquidy
89855ce6-9f9f-48b6-8deb-665bf343807d,cs,lab.vape.throathit.4,8584b01d9a1ad143a9c2873f24b7d61d4ee3459f,Extrémní
89b5b8a7-3432-4160-bd47-615b9dd6c4cd,cs,lab.build.button.activate,c78ee4e5abacf796e349520ce29af9cd660ef1d5,Aktivovat build
8a063079-03bb-4cb7-a42a-bfb1cb0a06fd,cs,lab.wire.create.success,5848bf3eb7e54422cc4fac20bafdf34f3c7afd67,Drát byl uložen.
8a285787-0ed4-4131-8858-d77e4381e286,cs,lab.mod.button.delete.confirm,3b0f6c92844f51fd528cc444189c73e572d867d0,"Opravdu si přejete odstranit vybraný mod? Bude smazána velké množství dat, která jsou spojená s jeho využitím ve vapování (případně jinde). Použijte s rozvahou, poněvadž není cesty zpět."
8a2f778b-e3d2-45ab-8b34-8b1a09331faf,cs,lab.liquid.plot.title,1c67a0422969b6de756b2a1d3166a169d0e92d9d,Statistiky liquidu
8a30ec10-0299-40df-897d-b65666ec2207,cs,lab.vape.preview.dryhit,218e1cc5ef2bec9ec6999c9fd980e9eb7279417a,Dryhity
8a880e1e-038b-4200-95d7-18990e4f4d3e,cs,lab.mod.button.edit,e7dd8b99bf113fd66edd33ca18562e9d4b40df68,Upravit mod
8a91c17c-e96b-407a-ad4a-65c2e4a5c6d6,cs,lab.atomizer.user.tab,2988059e46684b5b183c26cf76033facbfb4114a,Vaše atomizéry
8a9af1d1-9e77-45e9-a8a6-8790789deeca,cs,lab.atomizer.deleted.success,d9e53ddf40560e245270cbb3c7973d80b5b64cc9,Atomizér [{{data.name}}] byl odstraněn.
8aa48a3b-ae7b-4c78-ad62-373193138a7d,cs,lab.vape.preview.tc,42a89d85b8a950bbb583a5b01eaf27ae8eaaa165,Teplota
8ad908ab-98d7-448d-ac0a-a5fe97e6e9ad,cs,lab.atomizer.vendorId.label,71f104a9c03806c19948cedfe8420ecc5b1ec465,Výrobce
8b7281b1-721d-483e-9ef2-fd5d4a0515a1,cs,lab.cotton.menu,7077fe2f7d4e8215fe74093dccfd44848a8cdc91,Vaty
8b9f5f07-6f4b-4f5b-9fc4-8d9ec2c1c36a,cs,lab.build.coils.label,f5c31a3e8248c00a509bbc5daff9e090334bc337,Počet spirálek
8bc6a007-0de3-46a1-9b10-db0df3b76a59,cs,lab.vape.mtl.label.tooltip,ffaaf2be53c6bebc6a24800e1c6a88cb6e6dd3bd,"Zde se jedná o kombinaci hodnocení chuťového projevu v MTL; čím vyšší hodnocení, tím lépe build funguje v MTL."
8bca29d1-434b-42ce-b3c6-20fb8fac77c8,cs,lab.mixture.table.expires,4877fbff7489018b091d988d54f9b48f05bb1890,Datum expirace
8bd37c0d-2514-4d3b-8faf-0aa55b30f6ba,cs,root.common.utils.title,2b5598f73ba528ee0b906b9bc24f51e335270b43,Nástroje
8bdc4023-2b20-4cee-ad45-3db10a9a661a,cs,lab.build.age.tooltip,5f7f294f5954afd8a65999b8604a344c8df9527d,Stáří buildu
8bdd8e6b-7f56-40b0-a38b-496eafafa122,cs,lab.build.cottonId.label,4e012ba278f6f5d18a7ba56b36d774339810f90c,Vata
8beb3a5c-6525-4b08-bf57-d30f55253b1d,cs,lab.vape.buildId.label,964cb005b9efb1d042744342d45437b90bc9d13c,Build
8c664c32-3c37-4d90-82e8-efc549f74bd5,cs,lab.home.welcome-title,e839ec57105c91b4de498e99630ece790de7b836,Vítejte v Laboratoři!
8ca2fba5-7325-46f8-802f-dc234d23c8c1,cs,root.upgrade.index.menu,703fc1b0f65b0708f3be5bad6967096febbdb8b1,Aktualizace
8ca804b3-573a-4c30-ada7-634c7dd2add7,cs,lab.coil.index.preview.title,f9838853b9675d4fefab17ca51cab591966c5df7,Detail spirálky
8cdc4b33-615a-4785-9b3b-ea8417d4f3ea,cs,lab.build.index.label,c68b9a5be9efb322fc9524d358771ac83870688f,Build
8ce9aea0-0c22-4d02-893d-6667bbd6c8d7,cs,lab.vape.edit.title,900aedbd0bdc384283c600ff76ea105de22a172f,Editace vapu
8cfa26d1-4538-4633-adf1-b6a9da72edaf,cs,lab.coil.created.message,34efd5d19d1811b2c02eafb16396c64141a5b51d,Spirálka vytvořena.
8cfadede-8c5b-4611-8f8b-217a9715235c,cs,lab.vape.rate.submit,072d305552e17b4573285a8ae59dd1c19a3de2c4,Uložit hodnocení
8d21b6d2-5903-436f-a6db-8aa592bfe76a,cs,lab.cell.deleted.success,78b84d95049822d39abaa4ddf65b25b37370b0aa,Článek [{{data.vendor.name}} {{data.name}}] byl úspěšně odstraněn.
8d50e95f-2236-4162-a7c2-3e0de75b5f02,cs,lab.vape.common.title,810b537256097860030ab3c16321280a0b86d617,Obecné
8d60a03a-af9a-463d-85bd-3d47f140c803,cs,lab.vape.dl.label.tooltip,e11515b5b5f1ff9cd117184afbc0ff6ce7e62e4b,"Hodnocení buildu pro DL; čím vyšší hodnocení, tím lépe build funguje v DL."
8da7f11e-9424-4ff0-927e-d113171d477a,cs,lab.build.active.label,c79f67f68a02d5c5f8125371fe029e48105ffeec,Aktivní?
8db4577b-23ce-41b7-8732-8094d060f90e,cs,lab.vape.list.title,3083862c6048df3df243d1a906e35aed25a37093,Seznam vapů
8db8fdfa-1897-4d40-a8e4-512934e86bb2,cs,shared.job.preview.job-log,897e5674a50178a08702ff06cdbf6f687ce1b77b,Deník
