id,mod_id,tag_id
00bc7ff9-34ca-4220-9617-948b1606d91a,38a54ed0-cf3a-482f-abda-125b235b4679,0bd5d637-6612-443a-9e5b-1b4a8d0a9d59
1534899a-ecc7-4d3a-8936-1fc0b5586ca6,1c4cdaed-1c27-4190-acce-da9183885e25,53768f66-fc71-439a-b2e5-2aaf3a6b1189
21ff76a6-27ba-48be-a8e6-9c07852f4f42,bbd8533a-a28e-4f4b-b3f8-3174c72bc33e,0bd5d637-6612-443a-9e5b-1b4a8d0a9d59
54583383-4a4b-46d2-97aa-00ba6e1b4014,38a54ed0-cf3a-482f-abda-125b235b4679,53768f66-fc71-439a-b2e5-2aaf3a6b1189
5fd8f078-7a26-4595-9311-a02a931c4be9,bbd8533a-a28e-4f4b-b3f8-3174c72bc33e,e4788540-1bf4-4c7b-bf01-f7c43a32abb2
6c2b629d-14d6-487b-92e6-7b83648784c0,12ffefcb-c703-45ef-bb7a-2f85a0e0b75b,e4788540-1bf4-4c7b-bf01-f7c43a32abb2
a4832f53-148f-4710-a85e-cebdc11dd5e9,c6799a7b-47a9-4fc6-be66-8da37ef9b651,0bd5d637-6612-443a-9e5b-1b4a8d0a9d59
d24b4779-0aaa-43b8-b395-4879ac3ca794,cb799542-1fba-44fc-9123-d6ffb9531758,0bd5d637-6612-443a-9e5b-1b4a8d0a9d59
d4d1854d-0d5f-4a20-b5fa-cb4316b81a58,c3632a64-e7fa-4e4f-ac32-7142aebd88ca,e4788540-1bf4-4c7b-bf01-f7c43a32abb2
e01cc6b9-cb68-49b1-8f93-ee4f19a4d907,c6799a7b-47a9-4fc6-be66-8da37ef9b651,53768f66-fc71-439a-b2e5-2aaf3a6b1189
