id,build_id,tag_id
01cff045-9968-4cfc-bef2-4e93e335f7cd,ab4ac163-bd11-4313-99a6-30b079cb3c43,1003b0cc-6ff2-45f1-8ae4-355ea8819d96
14535128-f936-4e06-af54-be798c0e5ece,66a80d2e-6c6d-4cb8-a873-f5f15e7edc7c,1003b0cc-6ff2-45f1-8ae4-355ea8819d96
187eb4f8-0d76-4b1f-a0c0-55126dfeeabc,1ab74069-76e8-45ff-91ee-5fc3b14ecc4d,db39a172-09a3-4ff8-a160-b1ec5b5aad7a
2f5cc6da-f4e7-429a-a449-c1e4fb2af8a8,b7fb6098-4e5c-42db-bf3b-44977aad49d8,660ec6e5-e976-4e6c-8329-862f0a4e0f3d
3f284ec6-3fd6-4c7c-bea9-bf7e4d211f93,1c44c97e-db18-4dbf-8e28-177ab40b521d,db39a172-09a3-4ff8-a160-b1ec5b5aad7a
42a57e19-e6dd-4f0e-8af9-e549fcf295fa,21abd08c-bf88-4b24-813f-0656837076aa,660ec6e5-e976-4e6c-8329-862f0a4e0f3d
450f7100-1f7a-4b27-8874-d99f3d48c649,e80fff14-87a1-46f9-a43a-17e575a41bc1,660ec6e5-e976-4e6c-8329-862f0a4e0f3d
482d2468-5eb3-4fcc-90a4-40685dd1e0be,fcc527eb-c40a-4159-98b1-1519b9348977,660ec6e5-e976-4e6c-8329-862f0a4e0f3d
505b57f2-579a-43aa-b3f1-0cf488d191e2,1794f63e-e7fc-4de9-a4c4-62858d5b410a,8f5d4401-c4fc-495d-baa8-f0ab11d9744c
5cc053e5-2c78-49c3-9d11-ed6ecf619a3f,5e6a9694-35a1-4076-9c21-094a2d81033f,660ec6e5-e976-4e6c-8329-862f0a4e0f3d
67e85eb9-33e8-4d68-ac91-784a2a027c21,c92f828f-e386-4c9f-b424-3cabac0181fa,1003b0cc-6ff2-45f1-8ae4-355ea8819d96
68c6f366-c7a2-439e-b80a-acb90b5ac617,b164e158-4813-46ee-a8e1-f2f53f99b624,660ec6e5-e976-4e6c-8329-862f0a4e0f3d
6b95e055-9fd2-4aeb-b1ea-5991df7827af,66a80d2e-6c6d-4cb8-a873-f5f15e7edc7c,8f5d4401-c4fc-495d-baa8-f0ab11d9744c
6c1f7b84-70d0-47f5-bdbd-54fbd9d2c69f,77b7789e-f989-42c1-ab20-99c8d58584ad,1003b0cc-6ff2-45f1-8ae4-355ea8819d96
79b30511-7918-4558-960c-45494d0ffc34,908bd82f-7d09-4512-b2b9-6cd48ba7d5b3,db39a172-09a3-4ff8-a160-b1ec5b5aad7a
7abc13cc-4132-4509-a827-7dc6fd40c375,fcc527eb-c40a-4159-98b1-1519b9348977,8f5d4401-c4fc-495d-baa8-f0ab11d9744c
7ae08b8e-2d7a-4afb-a034-0654ff9c3033,1e3bcbb8-72b0-45ec-8ad3-ff3ac9ca1bf5,1003b0cc-6ff2-45f1-8ae4-355ea8819d96
7b82d5f6-6309-4168-9bc0-d994424b67d1,908bd82f-7d09-4512-b2b9-6cd48ba7d5b3,8f5d4401-c4fc-495d-baa8-f0ab11d9744c
880af191-3795-47ba-af1e-862447b6ce5d,1794f63e-e7fc-4de9-a4c4-62858d5b410a,db39a172-09a3-4ff8-a160-b1ec5b5aad7a
