id,atomizer_id,coil_id,cotton_id,user_id,active,created,disabledOn,ohm,driptip_id,mod_id,dual,dualMode
0161248b-6850-4888-9b61-fee9bc82e5c1,f1cb38c0-230f-4746-96db-58077d64c7de,f97801b9-407f-48c8-a0d4-745ca3b5e66d,23fec39e-80a3-4dcd-8ea2-17d77f170eb0,ef1bb964-8099-4d5d-9484-d4d8174c6c33,1,2022-03-05 00:46:26.0,,0.670,abdc34d2-2534-4454-b95a-ed444c66ad3e,c6799a7b-47a9-4fc6-be66-8da37ef9b651,0,
15c4f7e1-a610-4782-8d5c-e58bdb32fb80,1787c303-c251-4bba-b24e-7a1cd35ac37c,b9d5845a-66c3-4f5e-a421-b32320cd8688,065e5b8d-8b61-4c17-996b-a84a60cf713a,ef1bb964-8099-4d5d-9484-d4d8174c6c33,1,2022-03-03 08:27:19.0,,0.520,594bddc2-ea5f-4797-9c71-7df7741c730f,12ffefcb-c703-45ef-bb7a-2f85a0e0b75b,1,2
1794f63e-e7fc-4de9-a4c4-62858d5b410a,c16294e5-21f1-409a-9556-b13e2ca191bd,b15f8038-648c-4497-b98d-6e9b87bda32c,c0670c70-c584-4e30-a5ef-5af7787b113f,ef1bb964-8099-4d5d-9484-d4d8174c6c33,0,2022-02-18 12:09:39.0,,1.190,3e74027e-f720-4bef-8822-4e6a569f713a,12ffefcb-c703-45ef-bb7a-2f85a0e0b75b,0,
1ab74069-76e8-45ff-91ee-5fc3b14ecc4d,a19b0506-710f-4114-8e4a-239a4328cab1,f4cdef18-46ea-462b-9ce7-43ee7c39f52e,2d30dcbd-f30e-4de2-8108-b82c77d2cf6d,ef1bb964-8099-4d5d-9484-d4d8174c6c33,1,2022-03-06 13:10:59.0,,0.490,5cea4321-b236-4c01-851b-1703c768de15,c3632a64-e7fa-4e4f-ac32-7142aebd88ca,0,
1c44c97e-db18-4dbf-8e28-177ab40b521d,a19b0506-710f-4114-8e4a-239a4328cab1,c79bda86-ef57-4115-b0df-441d2da5fe2c,191d8b1a-2783-4377-b056-eeaaf9187b3c,ef1bb964-8099-4d5d-9484-d4d8174c6c33,0,2022-02-14 07:31:04.0,2022-02-18 12:18:34.0,1.020,ff572c95-f29e-4e55-88ba-625d0ad96c83,c3632a64-e7fa-4e4f-ac32-7142aebd88ca,0,
1e3bcbb8-72b0-45ec-8ad3-ff3ac9ca1bf5,5a9d0220-972a-45e1-8b3c-c94f6ae0f381,51afa3ec-8f03-4d8c-84ab-2ce2bbaff2a8,c0670c70-c584-4e30-a5ef-5af7787b113f,ef1bb964-8099-4d5d-9484-d4d8174c6c33,1,2022-03-06 00:30:19.0,,1.000,7fe31c32-5b6a-4ec4-8f44-7056b36f4f01,12ffefcb-c703-45ef-bb7a-2f85a0e0b75b,0,
21abd08c-bf88-4b24-813f-0656837076aa,ee373ab0-bce6-44d0-93f4-55b963ba68fd,a28d1763-a6a2-48f2-a458-174e2a0de73b,191d8b1a-2783-4377-b056-eeaaf9187b3c,ef1bb964-8099-4d5d-9484-d4d8174c6c33,0,2022-02-14 05:18:36.0,2022-02-17 11:47:47.0,1.100,f5a0f811-0a10-4fed-84ca-5a7c7ad9fe3c,12ffefcb-c703-45ef-bb7a-2f85a0e0b75b,0,
47373240-eea8-4a8e-9010-b36ae8e60564,e7b868e8-fbb3-4f42-b307-dc8af6806efb,59195b5b-fdbd-435d-9d3a-5eefb9685144,191d8b1a-2783-4377-b056-eeaaf9187b3c,ef1bb964-8099-4d5d-9484-d4d8174c6c33,0,2022-02-14 01:30:23.0,2022-02-17 11:47:52.0,0.300,491667e3-9d4f-4260-8cc7-bf9b405261c4,,0,
5e6a9694-35a1-4076-9c21-094a2d81033f,8f4fca2c-9c4a-4185-a253-95f28ef2cbc7,fa090078-c35f-4cb8-926a-c21dc3d3285e,065e5b8d-8b61-4c17-996b-a84a60cf713a,ef1bb964-8099-4d5d-9484-d4d8174c6c33,0,2022-02-14 11:18:29.0,2022-02-20 00:39:23.0,1.100,5cea4321-b236-4c01-851b-1703c768de15,c6799a7b-47a9-4fc6-be66-8da37ef9b651,0,
66a80d2e-6c6d-4cb8-a873-f5f15e7edc7c,1f9e9a42-22da-4e61-a1a2-1bc14c9ac381,0c3b5de3-00b6-4212-91e6-dfbcb2b38fe3,191d8b1a-2783-4377-b056-eeaaf9187b3c,ef1bb964-8099-4d5d-9484-d4d8174c6c33,0,2022-03-07 10:42:38.0,,0.930,44018e0f-4b8d-41f7-b7b0-258cec7fb023,12ffefcb-c703-45ef-bb7a-2f85a0e0b75b,0,
