id,name,power,vendor_id,voltage
12ffefcb-c703-45ef-bb7a-2f85a0e0b75b,Dani Box 21700 MOD,80,3c01080f-8ceb-4704-b40d-f76027d5d798,3.7
1c4cdaed-1c27-4190-acce-da9183885e25,Mini Stick Kit Stabwood,25,f35fa84b-e5c3-4e03-9132-3a26e7d6d550,3.7
38a54ed0-cf3a-482f-abda-125b235b4679,Converter MOD Full Kit,50,6f185e1f-8ded-446c-bac3-89b88164f9cd,3.7
bbd8533a-a28e-4f4b-b3f8-3174c72bc33e,Hyperion DNA 100C,100,d9a85685-f03e-42c8-b5bc-85aa744c11b1,3.7
c3632a64-e7fa-4e4f-ac32-7142aebd88ca,Pulse II,95,3fa41d33-858c-46af-9b67-d81724bbc418,3.7
c6799a7b-47a9-4fc6-be66-8da37ef9b651,Prestige MIXX,60,4352df48-026d-4bba-9fb5-c508892bc25c,3.7
cb799542-1fba-44fc-9123-d6ffb9531758,Luna Squonk,70,db1bc0ee-78f1-4ef2-ab60-7d6d303f7e9d,3.7
