id,name,drain,voltage,ohm,vendor_id,type_id
245c09c0-db09-4e7e-8c7b-6c14295d7493,HG2,20,3.7,0.247,8159b4cd-cb7e-4e35-a589-b694688fed0e,0bd5d637-6612-443a-9e5b-1b4a8d0a9d59
493826f6-fadf-4db5-93fa-a63a8f3209ee,VTC5,30,3.7,0.200,6701b678-e05f-41ec-b610-ec7d85279081,0bd5d637-6612-443a-9e5b-1b4a8d0a9d59
923f9962-0cd2-4eec-9515-314a690dabc5,40T,35,3.7,0.200,b165ada9-47b3-4cc7-8fbe-e3aa52af6e5b,e4788540-1bf4-4c7b-bf01-f7c43a32abb2
def1d443-2902-4b02-b9b6-902cab7294db,VTC6,30,3.7,0.200,6701b678-e05f-41ec-b610-ec7d85279081,0bd5d637-6612-443a-9e5b-1b4a8d0a9d59
